Taken_product,Yearly_avg_view_on_travel_page,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,preferred_location_type_Beach,preferred_location_type_Big Cities,preferred_location_type_Entertainment,preferred_location_type_Financial,preferred_location_type_Hill Stations,preferred_location_type_Historical site,preferred_location_type_Medical,preferred_location_type_Other,preferred_location_type_Social media,preferred_location_type_Trekking
False,262.0,16240.0,1,2,75.0,1951,1,False,12,False,3,1.0,1.0,False,False,False,False,False,False,False,True,False,False
False,202.0,43400.0,1,4,33.0,2341,1,False,13,False,4,1.0,1.0,False,False,False,True,False,False,False,False,False,False
True,195.0,47495.0,25,3,48.0,2293,1,False,12,False,3,0.0,1.0,False,False,False,True,False,False,False,False,False,False
False,202.0,34790.0,1,3,37.0,8726,1,False,15,False,4,0.0,9.0,False,False,False,True,False,False,False,False,False,False
False,225.0,25235.0,1,2,58.0,4011,1,False,23,True,4,0.0,12.0,False,False,False,False,False,False,True,False,False,False
True,307.0,47600.0,12,3,49.0,19545,1,False,12,False,4,0.0,23.0,False,False,True,False,False,False,False,False,False,False
True,210.0,50190.0,1,4,50.0,3441,1,True,13,False,3,0.0,2.0,False,False,True,False,False,False,False,False,False,False
False,330.0,52080.0,1,5,75.0,5454,5,True,21,True,3,1.0,9.0,False,False,False,False,False,False,False,False,True,False
False,262.0,38395.0,11,2,79.0,9884,2,True,13,False,3,1.0,10.0,False,False,False,False,False,False,True,False,False,False
False,195.0,50505.0,23,3,47.0,4157,7,True,19,False,3,1.0,5.0,False,False,False,False,False,False,False,False,True,False
False,247.0,18025.0,1,2,98.0,13458,1,True,12,False,3,0.0,15.0,False,False,False,True,False,False,False,False,False,False
False,262.0,29855.0,18,5,71.0,9069,1,False,22,True,4,1.0,9.0,False,False,False,True,False,False,False,False,False,False
False,262.0,39970.0,23,4,3.0,4014,3,True,15,False,3,1.0,4.0,False,False,False,False,False,False,True,False,False,False
False,232.0,22925.0,1,4,48.0,5915,3,False,22,True,4,1.0,10.0,False,False,False,True,False,False,False,False,False,False
False,240.0,14945.0,1,3,33.0,6162,1,True,22,True,2,1.0,9.0,False,False,False,False,False,False,True,False,False,False
False,285.0,22855.0,29,5,50.0,2406,1,False,11,False,4,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,375.0,34615.0,1,2,43.0,18740,5,True,12,False,4,1.0,29.0,False,False,False,False,False,False,True,False,False,False
False,412.0,29260.0,1,3,33.0,14756,2,True,14,False,3,3.0,21.0,False,False,False,False,False,False,True,False,False,False
False,270.0,41825.0,11,3,95.0,6499,1,False,13,False,3,0.0,6.0,False,False,False,True,False,False,False,False,False,False
False,262.0,23240.0,1,3,79.0,2194,4,False,13,False,4,1.0,5.0,False,False,False,False,False,False,True,False,False,False
True,270.0,11130.0,1,3,79.0,3388,0,True,17,False,1,1.0,2.0,False,False,False,False,False,False,True,False,False,False
False,232.0,37870.0,1,4,87.0,2501,1,False,17,False,2,0.0,1.0,False,False,False,False,False,False,True,False,False,False
False,240.0,19180.0,1,3,66.0,6220,1,False,17,False,2,2.0,10.0,False,False,False,True,False,False,False,False,False,False
False,270.0,4620.0,1,3,55.0,3038,3,False,12,False,2,0.0,5.0,False,False,False,True,False,False,False,False,False,False
False,232.0,26110.0,1,4,61.0,4424,1,False,23,True,4,0.0,11.0,False,False,False,True,False,False,False,False,False,False
False,262.0,27160.0,1,4,32.0,4312,0,False,14,False,2,0.0,16.0,False,False,False,False,False,False,False,False,True,False
False,277.0,13895.0,1,4,3.0,13664,4,False,13,False,1,0.0,16.0,False,False,False,False,False,False,True,False,False,False
False,345.0,33075.0,1,2,80.0,5021,8,True,22,True,4,1.0,16.0,False,False,False,False,False,False,True,False,False,False
False,225.0,29820.0,1,1,55.0,5126,1,True,12,False,3,2.0,10.0,False,False,False,True,False,False,False,False,False,False
False,262.0,42490.0,1,3,3.0,2859,1,False,18,False,1,0.0,6.0,False,False,False,False,False,False,True,False,False,False
False,412.0,3885.0,1,2,70.0,10239,3,False,14,False,4,1.0,24.0,False,False,False,True,False,False,False,False,False,False
False,285.0,20055.0,1,3,79.0,5329,7,True,12,False,4,3.0,17.0,False,False,False,False,False,False,True,False,False,False
False,255.0,40355.0,1,2,94.0,4325,1,False,15,False,3,0.0,5.0,False,False,False,False,False,False,True,False,False,False
False,382.0,15120.0,1,4,96.0,2075,3,False,23,True,2,2.0,10.0,False,False,False,True,False,False,False,False,False,False
False,225.0,10080.0,1,3,99.0,4152,1,False,19,False,1,3.0,11.0,False,False,False,True,False,False,False,False,False,False
True,345.0,23415.0,1,2,64.0,9619,1,False,16,False,4,0.0,9.0,False,False,False,False,False,False,True,False,False,False
False,300.0,18550.0,1,4,78.0,13503,1,False,22,True,4,1.0,22.0,False,False,False,True,False,False,False,False,False,False
False,382.0,22120.0,21,4,71.0,5441,0,True,22,True,4,0.0,11.0,False,False,False,False,False,False,False,False,True,False
False,225.0,46690.0,1,2,63.0,5209,1,True,12,False,2,3.0,11.0,False,False,False,False,False,False,True,False,False,False
False,345.0,22330.0,1,3,40.0,10673,2,True,13,False,3,1.0,21.0,False,False,False,False,False,False,True,False,False,False
False,240.0,38255.0,1,4,87.0,5010,1,False,16,False,1,0.0,12.0,False,False,False,False,False,False,True,False,False,False
False,405.0,42595.0,1,4,60.0,13549,9,False,12,False,1,1.0,16.0,False,False,True,False,False,False,False,False,False,False
False,330.0,17115.0,23,3,67.0,2042,4,False,12,False,3,1.0,17.0,False,False,False,False,False,False,True,False,False,False
True,277.0,28245.0,1,4,63.0,2073,4,True,22,True,4,0.0,7.0,False,False,False,False,False,False,False,True,False,False
False,240.0,28945.0,1,1,71.0,2956,1,False,13,False,4,0.0,1.0,False,False,False,True,False,False,False,False,False,False
True,150.0,30485.0,1,3,66.0,2926,1,True,18,False,2,0.0,1.0,False,False,False,True,False,False,False,False,False,False
False,255.0,23275.0,1,4,41.0,4809,1,False,14,False,3,0.0,16.0,False,False,False,False,False,False,False,True,False,False
False,277.0,36400.0,1,2,100.0,5163,5,False,14,False,4,1.0,17.0,False,False,False,True,False,False,False,False,False,False
False,375.0,39025.0,1,3,73.0,18172,3,True,19,False,1,0.0,28.0,False,False,False,True,False,False,False,False,False,False
True,187.0,8400.0,1,3,46.0,5744,1,True,11,False,4,0.0,6.0,False,False,False,False,False,False,False,False,True,False
False,187.0,44800.0,1,1,64.0,2889,1,False,11,False,3,2.0,2.0,False,False,False,False,False,False,True,False,False,False
False,165.0,18690.0,15,3,59.0,2871,1,False,15,False,3,0.0,1.0,False,False,False,False,False,False,True,False,False,False
False,382.0,50960.0,1,4,3.0,7484,3,False,20,True,3,0.0,23.0,False,False,False,False,False,False,True,False,False,False
True,255.0,23030.0,1,3,66.0,6074,1,True,24,True,4,0.0,9.0,False,False,False,True,False,False,False,False,False,False
False,405.0,4970.0,26,3,3.0,17328,2,True,12,False,3,0.0,23.0,False,False,False,False,False,False,False,True,False,False
False,180.0,39445.0,18,1,52.0,2774,0,False,12,False,3,1.0,6.0,False,False,False,True,False,False,False,False,False,False
False,255.0,36085.0,1,4,45.0,4505,6,False,15,False,3,1.0,12.0,False,False,False,True,False,False,False,False,False,False
False,277.0,41615.0,1,3,87.0,7428,2,False,12,False,1,0.0,12.0,False,False,False,True,False,False,False,False,False,False
False,255.0,47390.0,1,3,45.0,11631,2,False,12,False,4,0.0,14.0,False,False,False,False,False,False,True,False,False,False
False,270.0,51345.0,11,2,92.0,9738,0,False,14,False,3,1.0,10.0,False,False,True,False,False,False,False,False,False,False
False,270.0,32270.0,1,2,39.0,2835,5,False,22,True,1,1.0,7.0,False,False,False,True,False,False,False,False,False,False
False,382.0,23940.0,1,3,51.0,19537,7,False,13,False,3,0.0,23.0,False,False,False,True,False,False,False,False,False,False
True,232.0,8715.0,1,4,76.0,6172,4,True,18,False,2,0.0,12.0,False,False,False,True,False,False,False,False,False,False
False,195.0,29435.0,1,3,46.0,2368,1,False,19,False,3,0.0,5.0,False,False,False,False,False,False,False,True,False,False
True,435.0,5145.0,23,4,94.0,10312,1,False,12,False,4,1.0,40.0,False,False,False,False,False,False,True,False,False,False
True,42.0,18480.0,22,1,50.0,1675,1,True,19,False,4,0.0,0.0,False,False,False,False,False,False,False,False,True,False
False,165.0,20790.0,1,1,100.0,2523,0,False,14,False,3,1.0,3.0,False,False,True,False,False,False,False,False,False,False
False,367.0,16450.0,20,4,96.0,6567,1,False,14,False,3,0.0,16.0,False,False,False,False,False,False,True,False,False,False
False,322.0,33495.0,28,3,72.0,4739,4,False,12,False,4,0.0,18.0,False,False,False,False,False,False,True,False,False,False
False,375.0,28315.0,12,3,77.0,9208,4,False,11,False,4,0.0,16.0,False,False,False,False,False,False,False,False,True,False
True,232.0,18970.0,20,3,71.0,4559,3,True,11,False,3,1.0,4.0,False,False,False,True,False,False,False,False,False,False
False,195.0,47425.0,25,1,61.0,2942,1,False,23,True,4,1.0,8.0,False,False,False,True,False,False,False,False,False,False
False,270.0,7560.0,1,2,84.0,4941,6,False,20,True,4,2.0,7.0,False,False,False,False,False,False,True,False,False,False
True,382.0,40250.0,1,4,53.0,10650,2,False,15,False,4,0.0,18.0,False,False,False,True,False,False,False,False,False,False
True,240.0,36155.0,1,3,41.0,4200,7,False,22,True,1,0.0,10.0,False,False,False,False,False,False,True,False,False,False
False,285.0,12740.0,1,5,32.0,4317,3,True,20,True,2,0.0,19.0,False,False,True,False,False,False,False,False,False,False
False,225.0,15330.0,18,3,75.0,2632,1,False,14,False,3,0.0,5.0,False,False,False,True,False,False,False,False,False,False
False,307.0,29995.0,10,3,91.0,17181,4,False,13,False,2,1.0,21.0,False,False,False,True,False,False,False,False,False,False
False,307.0,32655.0,1,4,94.0,2238,2,False,21,True,4,1.0,7.0,False,False,False,True,False,False,False,False,False,False
False,397.0,50260.0,1,2,34.0,2306,2,True,20,True,4,1.0,13.0,False,False,False,False,False,False,False,False,True,False
False,240.0,33845.0,1,3,43.0,8998,1,False,14,False,4,0.0,9.0,False,False,False,False,False,False,False,False,True,False
False,217.0,52360.0,1,1,41.0,4319,1,False,13,False,1,1.0,10.0,False,False,True,False,False,False,False,False,False,False
False,382.0,40915.0,1,4,34.0,6132,2,False,17,False,3,0.0,10.0,False,False,False,False,False,False,True,False,False,False
False,435.0,40075.0,1,3,75.0,3346,4,True,20,True,2,1.0,9.0,False,False,False,False,False,False,True,False,False,False
False,300.0,22050.0,1,4,67.0,10855,7,False,11,False,1,1.0,15.0,False,False,False,False,False,False,False,False,True,False
False,255.0,10605.0,1,4,75.0,2231,6,False,18,False,4,1.0,6.0,False,False,False,False,False,False,False,False,True,False
False,202.0,50750.0,1,3,79.0,2566,1,True,15,False,4,1.0,1.0,False,False,False,False,False,False,True,False,False,False
False,375.0,50820.0,11,3,53.0,19926,3,False,15,False,2,0.0,21.0,False,False,False,True,False,False,False,False,False,False
False,307.0,16275.0,14,3,56.0,2451,4,False,12,False,1,1.0,13.0,False,False,False,True,False,False,False,False,False,False
True,42.0,21070.0,1,1,100.0,2325,0,False,21,True,1,0.0,1.0,False,False,True,False,False,False,False,False,False,False
False,270.0,51800.0,1,2,3.0,2088,4,False,12,False,3,0.0,13.0,False,False,False,False,False,False,True,False,False,False
False,225.0,3885.0,1,3,66.0,3072,1,False,11,False,3,2.0,12.0,False,False,False,False,False,False,True,False,False,False
False,247.0,4690.0,1,3,90.0,2500,0,False,14,False,1,0.0,4.0,False,False,False,True,False,False,False,False,False,False
True,42.0,10605.0,1,3,47.0,1102,1,False,22,True,3,0.0,1.0,False,False,False,True,False,False,False,False,False,False
False,345.0,18410.0,1,2,92.0,10453,1,False,25,True,3,3.0,24.0,False,False,False,False,False,False,False,False,True,False
False,285.0,48300.0,1,2,75.0,2288,1,False,12,False,3,0.0,2.0,False,False,False,True,False,False,False,False,False,False
False,232.0,4900.0,12,1,95.0,3929,8,True,23,True,3,1.0,7.0,False,False,False,False,False,False,True,False,False,False
False,255.0,22015.0,27,2,95.0,2311,2,False,15,False,4,0.0,9.0,False,False,False,False,False,False,True,False,False,False
True,307.0,47460.0,20,2,70.0,3140,1,True,22,True,4,0.0,4.0,False,False,False,False,False,False,False,False,True,False
False,375.0,11480.0,1,3,86.0,3690,2,False,15,False,4,1.0,5.0,False,False,False,False,False,False,True,False,False,False
False,397.0,37940.0,13,2,57.0,4450,1,False,11,False,3,2.0,5.0,False,False,False,False,False,False,True,False,False,False
False,247.0,32585.0,14,3,72.0,2756,1,False,13,False,4,1.0,8.0,False,False,False,False,False,False,True,False,False,False
False,300.0,34615.0,1,10,46.0,19033,1,False,14,False,2,1.0,21.0,False,False,False,False,False,False,True,False,False,False
False,412.0,24220.0,14,4,61.0,18722,8,False,11,False,4,0.0,36.0,False,False,False,False,False,False,True,False,False,False
False,255.0,37415.0,1,1,45.0,9547,1,False,17,False,3,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,382.0,10955.0,1,3,98.0,13734,3,False,18,False,3,0.0,21.0,False,False,False,False,False,False,True,False,False,False
False,202.0,31290.0,1,3,99.0,2279,1,False,16,False,4,0.0,7.0,False,False,False,False,False,False,True,False,False,False
False,277.0,10150.0,21,3,65.0,3564,1,True,12,False,1,1.0,8.0,False,False,False,True,False,False,False,False,False,False
False,285.0,44135.0,1,4,88.0,6553,9,False,14,False,2,0.0,14.0,False,False,False,True,False,False,False,False,False,False
False,285.0,37940.0,29,3,54.0,6261,3,False,18,False,1,1.0,9.0,False,False,True,False,False,False,False,False,False,False
False,202.0,16520.0,1,1,60.0,4298,5,False,19,False,3,1.0,6.0,False,False,True,False,False,False,False,False,False,False
False,367.0,35070.0,18,4,92.0,6804,1,True,15,False,1,2.0,7.0,False,False,False,True,False,False,False,False,False,False
False,255.0,30730.0,10,4,43.0,3815,1,True,17,False,4,1.0,5.0,False,False,False,False,False,False,True,False,False,False
False,300.0,31675.0,19,2,99.0,2741,8,True,15,False,3,1.0,15.0,False,False,False,False,False,False,True,False,False,False
True,285.0,41300.0,29,1,70.0,6673,7,True,19,False,2,0.0,17.0,False,False,False,False,False,False,True,False,False,False
True,217.0,4235.0,27,3,35.0,7639,1,False,22,True,4,3.0,10.0,False,False,False,False,False,False,False,False,True,False
False,165.0,39760.0,1,3,60.0,2328,1,True,16,False,1,1.0,4.0,False,False,False,True,False,False,False,False,False,False
False,270.0,22225.0,18,1,73.0,2153,1,False,13,False,1,0.0,8.0,False,False,False,False,False,False,True,False,False,False
False,300.0,40285.0,1,5,63.0,4876,9,False,14,False,4,1.0,5.0,False,False,False,True,False,False,False,False,False,False
False,345.0,22540.0,1,4,97.0,9396,7,False,16,False,3,1.0,17.0,False,False,False,False,False,False,True,False,False,False
True,240.0,36575.0,1,4,32.0,10400,1,False,11,False,3,0.0,14.0,False,False,False,False,False,False,True,False,False,False
False,225.0,29015.0,1,1,88.0,8474,1,False,22,True,3,0.0,12.0,False,False,False,True,False,False,False,False,False,False
False,202.0,43470.0,20,3,90.0,9981,1,False,14,False,4,0.0,7.0,False,False,False,True,False,False,False,False,False,False
False,382.0,51415.0,1,4,81.0,12490,5,False,16,False,4,2.0,16.0,False,False,False,True,False,False,False,False,False,False
True,225.0,35175.0,1,3,88.0,2657,5,True,11,False,3,0.0,8.0,False,False,True,False,False,False,False,False,False,False
False,405.0,40145.0,1,3,52.0,5940,2,False,14,False,4,1.0,16.0,False,False,False,False,False,False,False,False,True,False
False,270.0,48860.0,1,2,62.0,5914,8,False,16,False,4,0.0,16.0,False,False,False,True,False,False,False,False,False,False
False,247.0,5145.0,1,4,47.0,2622,6,False,21,True,4,0.0,7.0,False,False,False,False,False,False,True,False,False,False
False,277.0,23205.0,11,3,47.0,12185,1,True,14,False,3,3.0,10.0,False,False,False,False,False,False,False,True,False,False
False,285.0,4165.0,1,3,76.0,10609,0,False,12,False,3,2.0,17.0,False,False,False,True,False,False,False,False,False,False
False,232.0,34265.0,1,4,90.0,4345,0,False,12,False,4,1.0,6.0,False,False,False,False,False,False,True,False,False,False
False,277.0,11165.0,1,4,41.0,2793,4,False,17,False,3,1.0,13.0,False,False,False,False,False,False,False,False,True,False
False,262.0,33040.0,1,3,92.0,8789,1,False,14,False,1,0.0,10.0,False,False,False,False,False,False,False,False,True,False
False,375.0,29890.0,1,4,68.0,19517,3,False,11,False,3,1.0,32.0,False,False,False,False,False,False,True,False,False,False
True,247.0,28455.0,14,3,58.0,2436,5,True,13,False,3,1.0,8.0,False,False,False,False,False,False,True,False,False,False
False,322.0,36190.0,16,3,80.0,16064,5,True,22,True,3,1.0,22.0,False,False,False,False,False,False,False,False,True,False
True,247.0,16275.0,1,2,39.0,2707,7,False,20,True,1,0.0,13.0,False,False,False,True,False,False,False,False,False,False
False,300.0,45500.0,24,2,62.0,3319,1,False,17,False,1,2.0,9.0,False,False,True,False,False,False,False,False,False,False
False,232.0,46445.0,1,4,73.0,13675,9,False,12,False,1,1.0,9.0,False,False,False,False,False,False,True,False,False,False
False,247.0,29120.0,1,4,63.0,2911,1,False,13,False,3,1.0,2.0,False,False,False,True,False,False,False,False,False,False
False,255.0,16450.0,1,4,84.0,5957,6,False,13,False,2,1.0,13.0,False,False,False,True,False,False,False,False,False,False
False,277.0,35595.0,1,2,83.0,3920,2,False,14,False,1,1.0,17.0,False,False,False,False,False,False,True,False,False,False
True,277.0,17640.0,10,3,61.0,10048,6,False,11,False,2,2.0,17.0,False,False,False,False,False,False,True,False,False,False
False,292.0,17675.0,1,4,64.0,10938,0,False,25,True,4,0.0,20.0,False,False,False,False,False,False,False,True,False,False
False,217.0,23275.0,15,3,60.0,2340,1,False,19,False,1,0.0,6.0,False,False,False,True,False,False,False,False,False,False
False,300.0,49560.0,1,2,49.0,19436,0,False,19,False,4,1.0,22.0,False,False,False,False,False,False,True,False,False,False
False,382.0,29155.0,1,3,96.0,2723,1,False,11,False,2,0.0,1.0,False,False,False,True,False,False,False,False,False,False
True,232.0,10745.0,29,2,71.0,3479,0,False,11,False,2,0.0,6.0,False,False,False,False,False,False,True,False,False,False
False,240.0,45885.0,1,3,100.0,2794,1,False,20,True,3,0.0,5.0,False,False,False,True,False,False,False,False,False,False
False,285.0,46445.0,1,2,39.0,5249,3,False,18,False,4,1.0,13.0,False,False,False,True,False,False,False,False,False,False
False,240.0,4480.0,1,1,84.0,2176,4,False,13,False,4,0.0,9.0,False,False,True,False,False,False,False,False,False,False
False,345.0,17080.0,1,3,75.0,16872,3,True,12,False,2,1.0,28.0,False,False,True,False,False,False,False,False,False,False
False,187.0,23625.0,1,2,85.0,4000,1,False,12,False,4,2.0,6.0,False,False,False,True,False,False,False,False,False,False
False,412.0,15820.0,1,3,81.0,19045,0,True,14,False,3,0.0,37.0,False,False,False,False,False,False,True,False,False,False
True,352.0,23310.0,29,4,88.0,11849,1,True,12,False,4,1.0,10.0,False,False,False,True,False,False,False,False,False,False
False,210.0,40530.0,1,3,94.0,2070,1,False,23,True,4,1.0,5.0,False,False,False,False,False,False,True,False,False,False
False,277.0,7980.0,1,4,98.0,6502,4,False,14,False,2,1.0,7.0,False,False,False,False,False,False,True,False,False,False
False,157.0,34860.0,1,2,100.0,3230,1,False,17,False,1,0.0,3.0,False,False,False,False,False,False,True,False,False,False
False,277.0,25480.0,1,4,80.0,13603,2,True,18,False,1,2.0,15.0,False,False,False,False,False,False,True,False,False,False
False,262.0,46025.0,22,3,71.0,11996,7,False,18,False,2,1.0,10.0,False,False,False,True,False,False,False,False,False,False
False,195.0,51765.0,1,3,84.0,6397,1,False,20,True,1,1.0,6.0,False,False,False,True,False,False,False,False,False,False
False,375.0,27895.0,1,1,96.0,19144,3,False,14,False,1,2.0,28.0,False,False,False,True,False,False,False,False,False,False
False,217.0,15470.0,1,2,44.0,4554,1,False,18,False,1,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,412.0,5145.0,20,2,37.0,5415,3,True,19,False,4,1.0,12.0,False,False,True,False,False,False,False,False,False,False
False,195.0,17360.0,11,2,60.0,4741,1,True,13,False,3,1.0,5.0,False,False,False,False,False,False,True,False,False,False
False,277.0,48020.0,1,3,42.0,2115,1,False,12,False,2,0.0,17.0,False,False,False,True,False,False,False,False,False,False
True,330.0,32200.0,24,3,43.0,3161,3,True,22,True,4,1.0,19.0,False,False,False,True,False,False,False,False,False,False
True,195.0,50715.0,16,4,45.0,2373,2,True,13,False,4,1.0,5.0,False,False,False,False,False,False,True,False,False,False
False,270.0,17710.0,1,3,3.0,4485,4,False,12,False,4,0.0,10.0,False,False,True,False,False,False,False,False,False,False
True,195.0,33250.0,1,4,48.0,5828,1,True,12,False,2,0.0,8.0,False,False,False,False,False,False,False,False,True,False
False,277.0,31115.0,1,3,53.0,2326,1,True,12,False,3,3.0,4.0,False,False,False,False,False,False,True,False,False,False
True,35.0,8050.0,1,3,54.0,1420,1,False,13,False,3,0.0,0.0,False,False,False,True,False,False,False,False,False,False
False,262.0,43120.0,16,3,96.0,8020,0,False,15,False,3,2.0,12.0,False,False,False,False,False,False,False,False,True,False
False,270.0,19810.0,18,4,81.0,3688,4,False,18,False,4,2.0,4.0,False,False,False,True,False,False,False,False,False,False
False,382.0,45570.0,1,3,84.0,5482,5,False,18,False,4,1.0,13.0,False,False,False,False,False,False,True,False,False,False
False,35.0,28420.0,10,3,69.0,1200,1,False,12,False,1,0.0,0.0,False,False,False,False,False,False,True,False,False,False
False,232.0,7630.0,1,3,100.0,6929,4,False,11,False,2,1.0,10.0,False,False,True,False,False,False,False,False,False,False
False,292.0,39620.0,1,3,48.0,9613,0,False,17,False,1,3.0,19.0,False,False,False,False,False,False,True,False,False,False
False,270.0,38675.0,24,4,47.0,5674,7,False,15,False,3,1.0,11.0,False,False,False,True,False,False,False,False,False,False
False,240.0,31710.0,1,3,91.0,5484,1,False,14,False,3,1.0,13.0,False,False,False,True,False,False,False,False,False,False
False,285.0,29715.0,25,2,81.0,12061,3,False,17,False,3,1.0,19.0,False,False,False,True,False,False,False,False,False,False
False,435.0,13650.0,1,4,32.0,5660,2,True,13,False,4,1.0,12.0,False,False,False,True,False,False,False,False,False,False
False,232.0,24185.0,1,4,86.0,4821,0,True,12,False,3,1.0,6.0,False,False,True,False,False,False,False,False,False,False
False,232.0,3710.0,1,3,62.0,6410,3,False,12,False,4,0.0,9.0,False,False,False,False,False,False,False,True,False,False
False,322.0,6475.0,10,4,33.0,2455,0,False,19,False,1,0.0,9.0,False,False,False,True,False,False,False,False,False,False
False,367.0,38185.0,1,2,90.0,13964,7,True,12,False,4,0.0,25.0,False,False,True,False,False,False,False,False,False,False
False,202.0,42700.0,1,3,85.0,2478,1,True,12,False,2,0.0,4.0,False,False,False,True,False,False,False,False,False,False
False,240.0,20580.0,1,2,65.0,5228,1,True,11,False,4,0.0,13.0,False,False,True,False,False,False,False,False,False,False
False,202.0,48195.0,1,3,74.0,4478,1,True,11,False,1,0.0,5.0,False,False,False,True,False,False,False,False,False,False
False,232.0,24185.0,1,3,73.0,7547,4,False,12,False,4,3.0,13.0,False,False,False,False,False,False,False,False,True,False
False,240.0,35630.0,1,4,74.0,5055,7,False,16,False,3,0.0,10.0,False,False,False,False,False,False,True,False,False,False
True,210.0,40495.0,1,4,84.0,3464,5,True,13,False,4,0.0,5.0,False,False,False,False,False,False,True,False,False,False
